gene,baseMean_monocytes,log2FoldChange_monocytes,lfcSE_monocytes,stat_monocytes,pvalue_monocytes,padj_monocytes,baseMean_moDCs,log2FoldChange_moDCs,lfcSE_moDCs,stat_moDCs,pvalue_moDCs,padj_moDCs,same_direction,significant_both,geo_mean_padj,direction
ANKRD36B,210.85941588942396,0.04701559610851011,0.15727183684562923,0.2989447891720019,0.7649821719903696,0.8499831428189545,43.29762357990792,0.0009296464572758709,0.35740851024403814,0.0026010753259375647,0.9979246444961178,0.9998195340686837,True,False,0.9218621099814671,up
ANKRD36C,114.41968809735222,0.37044452724694893,0.22455784328219747,1.649661939357952,0.0990120988458009,0.2056132198010251,22.81500856672326,-0.17896677049397527,0.6909938885558312,-0.25899906418566687,0.7956359625361271,0.9684570644174323,False,False,0.44623712895042367,up
ANKRD37,67.16599738257531,-0.006693594174418512,0.2539603753426831,-0.02635684470613365,0.9789727151161581,,52.14934744414023,-0.19218979212651643,0.5138557439122268,-0.3740150701893194,0.7083931041615401,0.9586963616492126,True,False,0.9791304109510707,down
ANKRD39,18.859411713481816,-0.024798260272765785,0.46252973656587765,-0.05361441289566426,0.9572423731986108,,45.338468438895625,0.09100180587842274,0.26996520350754605,0.33708716788709797,0.736051190475443,0.9629515838961203,False,False,0.9813009649929629,down
ANKRD40,1165.4949890019745,0.023294907380841796,0.08535977556551591,0.2729026315558003,0.7849280635906044,0.8638276372448099,897.4653177733378,0.08282369231866614,0.22832142992037696,0.36275041001429187,0.7167913391475693,0.9607536575822067,True,False,0.9110025038404377,up
ANKRD42,198.50784107974482,0.05762687520205424,0.1557840959960451,0.3699150085482232,0.711445818239592,0.8109596033282902,296.3510427047906,-0.10236096726300338,0.16473196274512447,-0.6213789088482947,0.5343503458247771,0.9168881471429465,False,False,0.8622988160164984,up
ANKRD44,829.7621262404582,0.08049249426162693,0.09991690317193574,0.8055943659814643,0.42047677523808635,0.5679131480653216,1302.6152979614624,0.12349214536885601,0.2108058129840954,0.58580996235703,0.5580032282175095,0.9226646604887166,True,False,0.7238738784807531,up
ANKRD46,890.9721558073735,0.22092267920151615,0.1061397184218292,2.081432685957457,0.03739431947904914,0.10847056353892147,159.38040785952273,0.255546974834675,0.2443411860808603,1.045861235813541,0.2956251038621619,0.8196761059214273,True,False,0.29817902194602136,up
ANKRD49,773.6008075985611,0.24008193831762872,0.09652004713438403,2.4873789999642737,0.012868822175090434,0.05637950333581147,226.09131324391507,-0.03653950367492688,0.18612232579416,-0.19631983169680217,0.8443598399645735,0.9756626317390407,False,False,0.2345365101658116,up
ANKRD50,1377.7333067852323,0.21224569573967067,0.08396423480263429,2.5278107546454014,0.011477620031296803,0.052440402593794885,315.4532703646697,-0.34462732946369073,0.20621412837947312,-1.6712110473318833,0.09467999894265991,0.5771367218357796,False,False,0.1739691985517301,up
ANKRD52,489.0736722445438,-0.3158309759889274,0.1471707769361003,-2.146016910178148,0.031871629581532994,0.09743639160755295,1265.0194591973118,0.30906018528363655,0.18718559810891083,1.651089551792414,0.09872029043936549,0.5871808424476846,False,False,0.2391919365471701,down
ANKRD54,157.51085806303846,-0.13697002600270394,0.16657792678042452,-0.8222579584824082,0.4109300986444704,0.5579392861328375,161.53325959729045,0.17708492373528292,0.18483014302409922,0.9580954753261949,0.338014616858203,0.8458578486949139,False,False,0.6869769459528449,down
ANKRD55,70.6880758812147,-0.039288071037678084,0.24563202997819455,-0.15994685644688028,0.8729229375234859,,20.948271571385042,-0.2914012652688782,0.7821449710060379,-0.37256682082103254,0.7094708708315527,0.959170878050529,True,False,0.9793726961941144,down
ANKRD6,167.8450456150687,0.08549924548045407,0.16461231838895268,0.5193976144509002,0.6034834945403016,0.7243233751386392,88.49672145476218,-0.1572900647157067,0.22080258556323734,-0.7123560818569272,0.47624430406508544,0.8994847529215033,False,False,0.8071665454674446,up
ANKRD9,36.26418112192909,-0.033157098257238136,0.333439180762889,-0.09943971845593151,0.9207891482562984,,69.28398442078664,-0.659122566120412,0.4670186267391192,-1.4113410651789777,0.1581440714607677,0.676200468926738,True,False,0.8223140938392933,down
ANKS1A,515.1013089540884,-0.19562881003326393,0.10556444556450233,-1.8531694926937325,0.06385806884426547,0.15390561832590874,467.54878022728246,-0.08924399760839105,0.18098041370573073,-0.49311412092083834,0.6219319538074968,0.940706845851931,True,False,0.38049976185834433,down
ANKS3,18.781494376561593,-0.5030929410255518,0.4713850320773517,-1.0672654131771349,0.28585200159852087,,58.8164141818342,0.1646306003243565,0.31889251723019046,0.5162573325780454,0.6056746921865805,0.9358625545352587,False,False,0.9673998938056891,down
ANKS6,276.86809557503403,-0.08453502830909483,0.13701878781482446,-0.6169593940893757,0.5372615093364637,0.6693949837420751,180.2667300316088,-0.1283391836088738,0.38767470560472095,-0.33104863885478875,0.7406077464077012,0.9629515838961203,True,False,0.8028667136247143,down
ANKZF1,821.9129582267784,-0.2373191582919626,0.10429282554959476,-2.2755079943548875,0.022875473660688376,0.07908984612351357,354.54096606523046,0.13193173932428304,0.19992678197705693,0.6599002795904712,0.5093178247883183,0.9085898865436118,False,False,0.26806759281217657,down
ANO10,339.6969063535366,0.15912741474990452,0.129682448999485,1.2270543622332153,0.2198021593645587,0.3609479278616922,316.40210311407805,0.6359683536769621,0.16198341055294888,3.9261326299156902,8.632256957833658e-05,0.010742273729319225,True,False,0.06226878385773137,up
ANO5,99.30385667224796,0.20146311843760686,0.21155048235128376,0.9523169892993832,0.34093624419357127,0.490999028466539,39.508940047791285,-1.5418311638288318,0.6511623786502958,-2.36781364277322,0.017893546329905283,0.28221769904037763,False,False,0.3722480571405142,up
ANO6,13064.7012018354,0.11335511196824129,0.06607063213177658,1.715665618911542,0.08622326088695738,0.18774700771619812,2901.666984842541,0.01860688290059188,0.1756762364702503,0.10591576455898657,0.9156491861153437,0.9878708668353186,True,False,0.43066204761777865,up
ANO7,6.2316622195333435,-1.1813492063500521,0.7910711246668972,-1.4933539722455331,0.13534455455371647,,26.94825864037798,-0.4490587928309327,0.42329550860622256,-1.0608635898583958,0.28875189820903135,0.8168402936468653,True,False,0.9037921739243294,down
ANO8,7.55687919697375,0.004486885087529482,0.7016760640000224,0.006394524934983872,0.9948979420512128,,143.50932252578357,0.36630425129489175,0.393094258989764,0.9318483872959085,0.35141488409754806,0.8520406475984733,True,False,0.9230604788411609,up
ANOS1,2149.732402397216,0.22455646644567154,0.09167449953080253,2.449497598513977,0.014305566374764446,0.05947443716826143,264.60517259135514,-0.4241719729442212,1.4774171168302468,-0.2871037353718151,0.7740328921177426,0.9666911980162864,False,False,0.23977784492636303,up
ANP32A,5643.610609682921,0.06122558846408351,0.0670977370985374,0.9124836561055665,0.3615141693626539,0.510001934084642,2605.6963879716586,0.029787486146044935,0.09831177317154813,0.30299002027018235,0.7618974670217475,0.9643169959233298,True,False,0.7012870546299782,up
ANP32B,8616.610411106827,0.19193880602581173,0.06528553098004894,2.9399899662984685,0.003282228753748749,0.0263158555959671,2347.547889527411,0.21829973799499564,0.2244325969334808,0.972673938535306,0.33071538187637195,0.841563071132551,True,False,0.14881684130105302,up
ANP32BP1,8.376765307126524,-0.013800327668605497,0.6696712664177225,-0.02060761505033312,0.9835586658252443,,6.045422903676077,0.8321967270254778,0.8621032322505136,0.9653098328526559,0.33438964825049466,,False,False,1.0,down
ANP32E,13720.937826621632,0.3735974498422247,0.08186217550292378,4.563737129474178,5.025099214489562e-06,0.0012030246060573777,811.7509064202782,0.2252486858611451,0.14762227040771259,1.52584488261181,0.127048499980618,0.6291804716696304,True,False,0.027512171653094785,up
ANPEP,1983.2483159893516,-0.5002191886799764,0.1229479712297092,-4.068543658564276,4.730789771624718e-05,0.004011940496570523,19699.66321675264,0.6908407737016843,0.16471977272574914,4.194036710164132,2.7403360408662016e-05,0.005007866375207378,False,True,0.004482327733679044,down
ANTXR2,2990.9056042596208,0.14574667643923858,0.0852994442496151,1.7086474328336112,0.08751627681442654,0.18943396626920175,1760.5997252061425,-0.022472162725095515,0.24049485643028698,-0.09344134447885621,0.9255529460347162,0.988837625362218,False,False,0.43280415128390803,up
ANXA1,5143.6421507849755,0.0579050135944229,0.07715095603055382,0.7505417505324365,0.452928488318743,0.595399755721841,12219.543755031285,-0.01579342420189912,0.24602727465536503,-0.06419379405808785,0.9488159188288976,0.9925870761586489,False,False,0.7687562049684646,up
ANXA11,1153.434962913451,-0.20394797859867944,0.09586969497046365,-2.1273456503800654,0.03339137437443685,0.10044137329435635,8041.390686646261,-0.08114412295932295,0.17304744128480615,-0.4689125846465061,0.6391321205846124,0.94586404727543,True,False,0.3082270005338633,down
ANXA2,1939.6004892037538,-0.17028607415333488,0.08068616750062446,-2.110474191899336,0.03481753186200272,0.10351124778978532,16058.396789456749,-0.09847912969532921,0.1760203738475925,-0.5594757444419332,0.5758370804785335,0.9284765833751786,True,False,0.31001253150277874,down
ANXA2P2,11.377417640458786,-0.33341051986566944,0.583456717396397,-0.5714400227551966,0.5677014057059664,,163.88171961422609,-0.06314404403008787,0.18325415448728175,-0.34457087320478846,0.7304170060296677,0.9626267086159803,True,False,0.9811354180825297,down
ANXA2R,67.66123264837086,-0.1579686725936484,0.24077964678671943,-0.6560715355379507,0.5117780979854186,,14.93479864692505,-0.06470537221616414,0.5752112060488,-0.11248976295269643,0.910435086205344,0.9874657927497353,True,False,0.9937131340330243,down
ANXA4,2633.854156821304,0.1135420693852131,0.08322416246178176,1.3642921241454844,0.17247564367993373,0.3028776833712776,3379.894973252565,-0.2404126971947437,0.16913842315212332,-1.4213961128070598,0.15520163591388572,0.6738682731117036,False,False,0.4517739052418545,up
ANXA5,5385.366906754111,0.04892503075544686,0.07173943539206346,0.6819823781448304,0.49525009365111006,0.6337865233929347,10718.795003847243,-0.4560829861199887,0.1582265305853447,-2.8824684737303605,0.003945726178577133,0.11992643783781327,False,False,0.2756950491034008,up
ANXA6,2953.1270414633705,-0.30938513424355857,0.09104243558648409,-3.3982519497697736,0.0006781793184599178,0.012554764841386632,1126.6700793802038,-0.9141417165123832,0.34169321533058544,-2.6753288490904286,0.007465598098319419,0.17616941773690778,True,False,0.047029412200567465,down
ANXA7,545.401009224406,0.030305952920454477,0.11016338026303317,0.27510006363361433,0.7832393626936995,0.8623369488259819,2119.0222930503264,0.5499538550452038,0.1196057907161407,4.598053754357129,4.264559783052944e-06,0.0014337208322588964,True,False,0.035161775381206,up
ANXA9,5.502778023332492,0.02260275847064302,0.8754648029730178,0.02581800935215856,0.9794024972508844,,15.790682840097126,-1.3335847866713024,0.5111988816742006,-2.608739640242852,0.00908763563473844,0.19716283167407037,False,False,0.44403021482109795,up
AOAH,243.40293000203278,-0.17215316478279352,0.14248493518427585,-1.2082201150609202,0.22696260650604871,0.36959388696686923,1640.5167890298321,0.7444895008611978,0.4054376585804287,1.8362613464864161,0.06631901356965544,0.5028547200433218,False,False,0.431105590964033,down
AOC1,146.5177611426753,-0.427755560782272,0.23649475140992382,-1.808731729698431,0.07049269104340823,0.16442514764619662,4.647318009141107,-0.15313763854474727,0.8775919097310955,-0.17449755045220328,0.8614744556920481,,True,False,0.40549370851616995,down
