dataset,contrast,context_group,score,paired,n_case,n_control,case_mean,control_mean,delta_case_minus_control,p_value
GSE360,DC_Brugia5_vs_Baseline,direct_exposure,up_arm_signed_score_z,False,2,2,-0.017397860143784638,0.2937862348996143,-0.31118409504339895,0.6666666666666666
GSE360,DC_BrugiaCombined_vs_Baseline,direct_exposure,core_ev_signed_score_z,False,4,2,0.014808841715585039,0.04406502516158006,-0.029256183445995024,0.9333333333333333
GSE360,DC_BrugiaCombined_vs_Baseline,direct_exposure,down_arm_signed_score_z,False,4,2,-0.028918446779802515,-0.03842746296366692,0.009509016183864405,0.9333333333333333
GSE360,DC_BrugiaCombined_vs_Baseline,direct_exposure,module_a_signed_score_z,False,4,2,-0.20381550959363062,-0.15555634873717541,-0.04825916085645521,0.8666666666666667
GSE360,DC_BrugiaCombined_vs_Baseline,direct_exposure,module_b_signed_score_z,False,4,2,0.14969502228875847,0.2937862348996143,-0.14409121261085583,0.8
GSE360,DC_BrugiaCombined_vs_Baseline,direct_exposure,module_c_signed_score_z,False,4,2,0.6153506304365204,0.3973340110302347,0.2180166194062857,0.6
GSE360,DC_BrugiaCombined_vs_Baseline,direct_exposure,up_arm_signed_score_z,False,4,2,0.14969502228875847,0.2937862348996143,-0.14409121261085583,0.8
GSE360,Macrophage_Brugia50_vs_Baseline,direct_exposure,core_ev_signed_score_z,False,2,2,-1.3790277535735818,-1.6745390651583107,0.295511311584729,1.0
GSE360,Macrophage_Brugia50_vs_Baseline,direct_exposure,down_arm_signed_score_z,False,2,2,-1.443990234441625,-1.7553177364919472,0.3113275020503221,1.0
GSE360,Macrophage_Brugia50_vs_Baseline,direct_exposure,module_a_signed_score_z,False,2,2,-1.3040229917912542,-1.78456897211505,0.4805459803237957,1.0
GSE360,Macrophage_Brugia50_vs_Baseline,direct_exposure,module_b_signed_score_z,False,2,2,-0.766478788850051,-0.9246916018492218,0.15821281299917078,1.0
GSE360,Macrophage_Brugia50_vs_Baseline,direct_exposure,module_c_signed_score_z,False,2,2,-1.629127560583222,-1.253282228775707,-0.375845331807515,1.0
GSE360,Macrophage_Brugia50_vs_Baseline,direct_exposure,up_arm_signed_score_z,False,2,2,-0.766478788850051,-0.9246916018492218,0.15821281299917078,1.0
GSE360,Macrophage_Brugia5_vs_Baseline,direct_exposure,core_ev_signed_score_z,False,2,2,-0.45038035146665467,-1.6745390651583107,1.224158713691656,0.3333333333333333
